縣市,起火原因,死亡人數,受傷人數
高雄市,其他,0,0
臺中市,其他,0,0
南投縣,其他,0,0
臺南市,遺留火種,0,0
臺中市,燃放爆竹,0,0
臺北市,燃放爆竹,0,0
花蓮縣,燃放爆竹,0,0
新北市,爐火烹調,0,0
新竹市,其他,0,0
新北市,其他,0,0
臺中市,爐火烹調,0,0
臺北市,電氣因素,0,0
桃園市,其他,0,0
屏東縣,燃放爆竹,0,0
高雄市,菸蒂,0,0
彰化縣,其他,0,0
南投縣,燈燭,0,0
臺北市,爐火烹調,0,0
新北市,遺留火種,0,0
桃園市,爐火烹調,0,0
臺中市,菸蒂,0,0
臺南市,電氣因素,0,0
高雄市,電氣因素,0,0
基隆市,玩火,0,0
高雄市,爐火烹調,0,0
臺東縣,其他,0,0
屏東縣,其他,0,0
臺中市,瓦斯漏氣或爆炸,0,0
雲林縣,電氣因素,0,0
新北市,電氣因素,0,0
新竹市,遺留火種,0,0
屏東縣,菸蒂,0,0
雲林縣,其他,0,0
苗栗縣,其他,0,0
臺南市,爐火烹調,0,0
雲林縣,遺留火種,0,0
嘉義縣,其他,0,0
雲林縣,自殺,1,0
臺中市,施工不慎,0,0
嘉義縣,遺留火種,0,0
花蓮縣,其他,0,0
臺北市,施工不慎,0,0
新北市,爐火烹調,0,1
南投縣,菸蒂,0,0
桃園市,菸蒂,0,0
新北市,遺留火種,0,1
新北市,電氣因素,1,1
新北市,機械設備,0,0
屏東縣,爐火烹調,0,0
新北市,交通事故,0,0
嘉義市,其他,0,0
臺中市,遺留火種,0,0
屏東縣,菸蒂,0,1
屏東縣,電氣因素,0,0
高雄市,遺留火種,0,0
新竹市,爐火烹調,0,0
彰化縣,機械設備,0,0
臺南市,其他,0,0
新北市,菸蒂,1,0
彰化縣,施工不慎,0,4
桃園市,電氣因素,0,0
臺北市,遺留火種,0,0
臺北市,敬神掃墓祭祖,0,0
花蓮縣,電氣因素,0,0
澎湖縣,爐火烹調,0,0
臺南市,玩火,0,0
臺北市,機械設備,0,0
嘉義市,施工不慎,0,0
臺南市,遺留火種,0,1
嘉義縣,電氣因素,0,0
新北市,機械設備,0,1
嘉義縣,縱火,0,0
彰化縣,菸蒂,0,0
臺中市,電氣因素,0,1
臺中市,電氣因素,0,0
嘉義縣,機械設備,0,0
宜蘭縣,電氣因素,1,4
屏東縣,燈燭,0,0
臺北市,瓦斯漏氣或爆炸,0,0
臺北市,菸蒂,0,0
臺北市,其他,0,0
雲林縣,菸蒂,0,0
桃園市,遺留火種,0,0
嘉義縣,爐火烹調,0,0
宜蘭縣,玩火,0,2
彰化縣,電氣因素,0,0
新北市,電氣因素,0,1
基隆市,爐火烹調,0,0
桃園市,施工不慎,0,0
雲林縣,敬神掃墓祭祖,0,0
臺北市,縱火,0,0
彰化縣,其他,0,1
南投縣,爐火烹調,0,0
新竹縣,菸蒂,0,0
雲林縣,爐火烹調,0,0
屏東縣,爐火烹調,0,1
花蓮縣,遺留火種,0,0
宜蘭縣,施工不慎,0,0
臺中市,電氣因素,0,2
高雄市,玩火,0,0
屏東縣,施工不慎,0,0
南投縣,交通事故,0,0
臺中市,自殺,0,0
屏東縣,遺留火種,0,0
高雄市,機械設備,0,0
南投縣,遺留火種,0,0
新竹縣,爐火烹調,0,0
南投縣,電氣因素,0,0
花蓮縣,爐火烹調,0,0
新北市,施工不慎,0,1
臺南市,機械設備,0,0
宜蘭縣,爐火烹調,0,0
彰化縣,縱火,0,0
基隆市,其他,0,0
新北市,縱火,0,0
苗栗縣,菸蒂,0,0
苗栗縣,遺留火種,0,0
新竹縣,自殺,0,1
臺南市,其他,1,0
新竹縣,電氣因素,0,0
金門縣,其他,0,0
新北市,敬神掃墓祭祖,0,0
臺中市,敬神掃墓祭祖,0,0
苗栗縣,縱火,0,0
臺東縣,爐火烹調,0,0
苗栗縣,施工不慎,0,0
苗栗縣,敬神掃墓祭祖,0,0
新北市,菸蒂,0,0
新北市,玩火,0,0
彰化縣,爐火烹調,0,0
臺中市,玩火,0,0
雲林縣,其他,0,1
高雄市,施工不慎,0,0
桃園市,縱火,2,0
臺東縣,遺留火種,0,0
嘉義縣,菸蒂,0,0
臺東縣,縱火,0,0
基隆市,電氣因素,0,0
臺北市,玩火,0,0
新竹縣,其他,0,0
臺南市,施工不慎,0,0
臺東縣,施工不慎,0,0
嘉義市,遺留火種,0,0
桃園市,縱火,0,0
連江縣,菸蒂,0,0
苗栗縣,爐火烹調,0,0
屏東縣,敬神掃墓祭祖,0,0
南投縣,敬神掃墓祭祖,0,1
桃園市,玩火,0,0
澎湖縣,其他,0,0
花蓮縣,電氣因素,0,3
彰化縣,遺留火種,0,0
臺南市,交通事故,0,0
彰化縣,施工不慎,0,0
嘉義市,菸蒂,0,0
新北市,施工不慎,0,0
宜蘭縣,爐火烹調,0,2
澎湖縣,電氣因素,0,1
臺中市,交通事故,0,0
彰化縣,電氣因素,0,3
臺東縣,電氣因素,0,0
彰化縣,自殺,1,0
嘉義縣,敬神掃墓祭祖,0,0
宜蘭縣,電氣因素,0,1
臺北市,交通事故,0,0
苗栗縣,交通事故,0,0
高雄市,交通事故,0,0
屏東縣,其他,1,0
彰化縣,燃放爆竹,0,0
宜蘭縣,爐火烹調,0,1
屏東縣,縱火,0,2
南投縣,化學物品,0,0
嘉義市,瓦斯漏氣或爆炸,0,2
臺南市,菸蒂,0,0
花蓮縣,縱火,0,1
臺中港,敬神掃墓祭祖,0,0
臺南市,縱火,0,0
金門縣,爐火烹調,0,0
新竹縣,遺留火種,0,0
新北市,燈燭,0,0
高雄市,菸蒂,0,1
基隆市,菸蒂,0,0
彰化縣,其他,0,2
高雄市,燃放爆竹,0,0
新竹市,電氣因素,0,0
高雄市,敬神掃墓祭祖,0,0
臺中港,菸蒂,0,0
基隆港,施工不慎,0,0
臺中港,遺留火種,0,0
新北市,瓦斯漏氣或爆炸,0,0
宜蘭縣,玩火,1,0
嘉義市,縱火,0,0
高雄市,菸蒂,0,2
新竹縣,施工不慎,0,0
苗栗縣,電氣因素,0,0
新竹縣,瓦斯漏氣或爆炸,0,2
花蓮縣,自殺,0,1
桃園市,電氣因素,0,3
臺東縣,燃放爆竹,0,0
花蓮縣,菸蒂,0,0
臺中港,其他,0,1
臺中市,烤火,0,0
臺南市,敬神掃墓祭祖,0,0
臺南市,電氣因素,3,0
桃園市,瓦斯漏氣或爆炸,0,0
彰化縣,交通事故,0,0
臺南市,瓦斯漏氣或爆炸,0,1
宜蘭縣,燃放爆竹,0,0
宜蘭縣,機械設備,0,0
臺中市,菸蒂,0,1
宜蘭縣,其他,0,0
新北市,瓦斯漏氣或爆炸,0,1
彰化縣,敬神掃墓祭祖,0,0
連江縣,原因不明,0,0
臺南市,縱火,0,1
高雄市,機械設備,1,0
高雄市,縱火,0,0
南投縣,易燃品自燃,0,0
桃園市,爐火烹調,0,1
南投縣,敬神掃墓祭祖,0,0
嘉義市,爐火烹調,0,0
臺中港,其他,0,0
臺中市,其他,0,1
新北市,燃放爆竹,0,0
臺南市,燃放爆竹,0,0
高雄市,自殺,1,0
臺中市,敬神掃墓祭祖,0,1
南投縣,燃放爆竹,0,0
新竹市,菸蒂,0,0
桃園市,燃放爆竹,0,0
嘉義市,敬神掃墓祭祖,0,0
苗栗縣,燃放爆竹,0,0
花蓮縣,敬神掃墓祭祖,0,0
彰化縣,玩火,0,0
臺中市,自殺,1,0
桃園市,電氣因素,3,1
新竹縣,燃放爆竹,0,0
雲林縣,縱火,1,1
嘉義縣,燃放爆竹,0,0
雲林縣,燃放爆竹,0,0
臺中市,縱火,0,0
桃園市,遺留火種,0,1
澎湖縣,燃放爆竹,0,0
新竹市,化學物品,0,0
金門縣,燃放爆竹,0,0
新北市,瓦斯漏氣或爆炸,0,5
連江縣,其他,0,0
彰化縣,燈燭,0,0
臺東縣,玩火,0,0
嘉義縣,施工不慎,0,0
嘉義市,電氣因素,0,0
臺北市,自殺,1,0
彰化縣,菸蒂,0,2
桃園市,交通事故,0,0
苗栗縣,自殺,1,0
基隆市,自殺,0,0
新竹縣,玩火,0,0
臺北市,機械設備,0,2
雲林縣,遺留火種,1,0
苗栗縣,機械設備,0,0
臺南市,瓦斯漏氣或爆炸,0,0
新竹市,機械設備,0,0
雲林縣,縱火,0,0
屏東縣,縱火,0,0
臺東縣,機械設備,0,0
宜蘭縣,縱火,0,0
臺中市,爐火烹調,0,2
桃園市,敬神掃墓祭祖,0,0
澎湖縣,電氣因素,0,0
臺北市,遺留火種,1,0
高雄市,烤火,0,0
澎湖縣,菸蒂,0,0
臺南市,電氣因素,1,0
臺中市,機械設備,0,0
南投縣,施工不慎,0,0
宜蘭縣,電氣因素,0,0
基隆市,遺留火種,0,0
臺南市,燈燭,0,0
澎湖縣,其他,0,1
桃園市,烤火,0,1
高雄港,施工不慎,0,0
南投縣,自殺,0,0
臺中市,其他,1,0
桃園市,化學物品,1,0
澎湖縣,敬神掃墓祭祖,0,0
新北市,烤火,0,0
臺北市,自殺,2,0
苗栗縣,瓦斯漏氣或爆炸,0,0
宜蘭縣,電氣因素,0,2
臺東縣,敬神掃墓祭祖,0,0
桃園市,機械設備,0,0
桃園市,電氣因素,0,9
臺中市,瓦斯漏氣或爆炸,0,1
臺北市,燈燭,0,0
高雄市,遺留火種,1,0
屏東縣,機械設備,0,0
雲林縣,菸蒂,1,0
高雄市,瓦斯漏氣或爆炸,0,4
嘉義縣,天然災害,0,0
新竹縣,易燃品自燃,0,0
屏東縣,玩火,0,0
彰化縣,電氣因素,0,1
桃園市,電氣因素,0,1
高雄市,燈燭,0,0
彰化縣,易燃品自燃,0,0
桃園市,縱火,0,1
高雄市,其他,0,1
新北市,烤火,1,0
屏東縣,縱火,0,1
新竹縣,縱火,0,0
宜蘭縣,瓦斯漏氣或爆炸,3,0
臺北市,電氣因素,1,0
基隆市,烤火,0,0
桃園市,瓦斯漏氣或爆炸,0,2
新北市,自殺,0,0
臺東縣,縱火,0,1
臺中市,施工不慎,0,1
宜蘭縣,菸蒂,0,2
高雄港,機械設備,0,1
宜蘭縣,敬神掃墓祭祖,0,0
新竹縣,瓦斯漏氣或爆炸,0,1
澎湖縣,遺留火種,0,0
苗栗縣,爐火烹調,0,1
高雄市,電氣因素,0,1
桃園市,電氣因素,0,4
桃園市,化學物品,1,1
南投縣,玩火,0,0
臺中市,電氣因素,1,1
新竹縣,機械設備,0,0
臺南市,縱火,0,4
花蓮縣,燈燭,0,0
基隆市,電氣因素,0,1
高雄市,化學物品,0,0
宜蘭縣,菸蒂,0,0
桃園市,電氣因素,1,0
桃園市,縱火,0,4
花蓮縣,機械設備,0,0
新竹市,敬神掃墓祭祖,0,0
新竹市,易燃品自燃,0,0
新北市,易燃品自燃,0,0
臺中市,玩火,0,1
嘉義縣,交通事故,0,0
桃園市,燈燭,0,0
嘉義縣,菸蒂,1,0
臺東縣,菸蒂,0,0
新北市,自殺,1,0
高雄港,其他,0,0
桃園市,菸蒂,1,0
南投縣,縱火,0,0
雲林縣,敬神掃墓祭祖,1,0
基隆市,電氣因素,0,2
基隆市,縱火,0,0
連江縣,電氣因素,0,0
雲林縣,施工不慎,0,0
臺中市,電氣因素,3,2
新竹縣,敬神掃墓祭祖,0,0
宜蘭縣,自殺,0,0
基隆港,電氣因素,0,0
苗栗縣,玩火,0,0
桃園市,化學物品,0,1
新竹縣,爐火烹調,0,1
金門縣,敬神掃墓祭祖,0,0
新竹縣,電氣因素,0,1
澎湖縣,機械設備,0,0
新竹縣,菸蒂,0,2
雲林縣,瓦斯漏氣或爆炸,0,0
臺中市,爐火烹調,0,1
臺北市,施工不慎,0,1
嘉義縣,烤火,0,0
嘉義縣,燈燭,0,0
基隆市,瓦斯漏氣或爆炸,0,1
臺北市,瓦斯漏氣或爆炸,0,1
花蓮縣,交通事故,0,0
南投縣,烤火,0,0
高雄市,易燃品自燃,0,0
花蓮縣,縱火,0,0
高雄市,遺留火種,0,2
桃園市,其他,0,1
臺中市,化學物品,0,1
新北市,電氣因素,0,2
臺中港,電氣因素,0,0
花蓮縣,施工不慎,0,0
臺中市,菸蒂,1,0
澎湖縣,爐火烹調,0,1
花蓮縣,自殺,0,0
新北市,自殺,0,1
基隆市,燈燭,0,0
彰化縣,瓦斯漏氣或爆炸,0,0
高雄市,電氣因素,2,2
臺中市,原因不明,0,0
臺中港,施工不慎,0,0
雲林縣,機械設備,0,0
雲林縣,瓦斯漏氣或爆炸,0,1
澎湖縣,瓦斯漏氣或爆炸,0,1
彰化縣,機械設備,0,3
苗栗縣,縱火,1,0
臺南市,縱火,1,2
臺北市,電氣因素,0,1
高雄市,爐火烹調,0,1
高雄市,瓦斯漏氣或爆炸,0,0
桃園市,易燃品自燃,0,0
花蓮縣,菸蒂,0,1
雲林縣,自殺,0,1
新竹市,縱火,0,0
桃園市,縱火,1,0
屏東縣,玩火,2,0
臺中市,機械設備,0,1
金門縣,電氣因素,0,0
屏東縣,其他,2,0
屏東縣,縱火,1,0
臺中市,燈燭,0,0
屏東縣,施工不慎,0,6
桃園市,化學物品,0,0
新竹市,瓦斯漏氣或爆炸,0,0
澎湖縣,施工不慎,0,0
苗栗縣,電氣因素,1,0
花蓮縣,遺留火種,0,1
新竹市,施工不慎,0,0
臺中市,化學物品,0,2
嘉義市,電氣因素,2,0
臺北市,瓦斯漏氣或爆炸,0,2
高雄市,電氣因素,1,0
宜蘭縣,遺留火種,0,0
高雄市,自殺,1,1
基隆港,其他,0,0
苗栗縣,天然災害,0,0
基隆市,施工不慎,0,0
南投縣,爐火烹調,1,0
花蓮縣,電氣因素,0,1
新北市,遺留火種,1,0
高雄市,電氣因素,0,3
桃園市,菸蒂,0,1
基隆市,菸蒂,2,0
花蓮港,遺留火種,0,0
臺中市,菸蒂,0,2
桃園市,電氣因素,0,2
臺南市,電氣因素,0,6
臺中市,瓦斯漏氣或爆炸,0,6
桃園市,自殺,1,0
臺中市,其他,0,2
桃園市,電氣因素,0,5
高雄市,電氣因素,1,1
連江縣,燈燭,0,0
臺中市,縱火,0,1
新北市,菸蒂,2,1
基隆市,燃放爆竹,0,0
彰化縣,爐火烹調,0,1
臺北市,縱火,1,0
宜蘭縣,瓦斯漏氣或爆炸,0,1
臺中市,電氣因素,0,3
屏東縣,其他,0,5
高雄市,機械設備,0,1
基隆市,菸蒂,0,1
臺北市,自殺,1,1
臺東縣,瓦斯漏氣或爆炸,0,0
金門縣,燈燭,0,0
彰化縣,化學物品,0,2
臺中市,玩火,0,2
基隆市,敬神掃墓祭祖,0,0
臺北市,電氣因素,2,0
彰化縣,敬神掃墓祭祖,0,1
基隆市,其他,0,1
雲林縣,交通事故,0,0
苗栗縣,原因不明,0,0
桃園市,瓦斯漏氣或爆炸,0,1
臺北市,易燃品自燃,0,0
新竹縣,菸蒂,2,0
臺南市,電氣因素,0,1
臺北市,烤火,0,0
苗栗縣,電氣因素,0,1
苗栗縣,其他,0,2
桃園市,機械設備,0,2
新北市,天然災害,0,0
南投縣,機械設備,0,0
臺南市,爐火烹調,0,1
連江縣,爐火烹調,0,0
新竹市,燃放爆竹,0,0
臺南市,瓦斯漏氣或爆炸,0,2
宜蘭縣,電氣因素,1,0
金門縣,易燃品自燃,0,0
臺南市,敬神掃墓祭祖,0,1
新北市,其他,1,0
新竹市,燈燭,0,0
宜蘭縣,瓦斯漏氣或爆炸,0,0
臺中港,化學物品,0,0
臺南市,自殺,0,1
嘉義市,電氣因素,1,0
金門縣,敬神掃墓祭祖,0,1
澎湖縣,玩火,0,0
高雄港,易燃品自燃,0,0
宜蘭縣,電氣因素,2,5
金門縣,縱火,0,0
金門縣,遺留火種,0,0
宜蘭縣,交通事故,0,0
金門縣,施工不慎,0,0
高雄市,機械設備,0,2
臺中市,爐火烹調,1,0
臺北市,爐火烹調,0,1
彰化縣,電氣因素,1,1
臺中市,電氣因素,2,0
嘉義市,交通事故,0,0
高雄市,自殺,0,1
高雄市,縱火,0,1
花蓮縣,爐火烹調,0,1
苗栗縣,燈燭,0,0
屏東縣,交通事故,0,0
臺東縣,瓦斯漏氣或爆炸,0,1
彰化縣,瓦斯漏氣或爆炸,0,1
臺中市,敬神掃墓祭祖,1,0
臺中市,菸蒂,0,4
高雄市,其他,0,3
新竹市,電氣因素,1,0
屏東縣,自殺,0,1
臺東縣,交通事故,0,0
高雄市,遺留火種,1,1
新北市,電氣因素,3,1
雲林縣,原因不明,0,0
臺北市,自殺,0,0
桃園市,電氣因素,1,7
高雄港,遺留火種,0,0
基隆市,交通事故,0,0
臺南市,菸蒂,1,1
臺北市,遺留火種,0,1
臺中市,自殺,0,1
嘉義縣,遺留火種,1,0
彰化縣,電氣因素,0,2
金門縣,爐火烹調,0,1
彰化縣,瓦斯漏氣或爆炸,0,2
南投縣,瓦斯漏氣或爆炸,0,0
桃園市,遺留火種,0,3
臺中市,菸蒂,0,14
連江縣,敬神掃墓祭祖,0,0
高雄市,其他,1,0
屏東縣,電氣因素,4,2
苗栗縣,烤火,0,1
花蓮縣,其他,0,1
臺北市,瓦斯漏氣或爆炸,0,3
南投縣,菸蒂,1,0
臺南市,自殺,1,1
雲林縣,原因不明,0,1
高雄市,遺留火種,0,1
嘉義縣,易燃品自燃,0,0
彰化縣,施工不慎,1,0
桃園市,縱火,0,2
臺中港,爐火烹調,0,1
臺北市,縱火,0,4
基隆市,機械設備,0,0
臺南市,燈燭,0,1
屏東縣,其他,0,1
臺中市,敬神掃墓祭祖,1,1
臺南市,遺留火種,1,0
臺南市,縱火,7,3
南投縣,菸蒂,0,1
雲林縣,其他,1,0
新竹縣,交通事故,0,0
嘉義市,電氣因素,0,1
臺南市,自殺,1,0
臺北市,菸蒂,1,0
臺北市,燈燭,1,1
臺北市,電氣因素,0,10
彰化縣,遺留火種,1,0
